ID,creator,age,stim,inverted,category1,category2,category3,confidence,creativity,filepath
1001,child,5.0,G,TRUE,princess,heart,writing,2.0,3,../data/children/stimuli_G/1001.png
1001,child,5.0,I,FALSE,ninja(s),house,door,2.0,3.0,../data/children/stimuli_I/1001.png
1001,child,5.0,R,FALSE,ninja(s),house,door,2.0,3.0,../data/children/stimuli_R/1001.png
1002,child,5.0,G,FALSE,creature/monster,circles,frown,2.0,2,../data/children/stimuli_G/1002.png
1002,child,5.0,I,TRUE,creature/monster,hands,,2.0,3.0,../data/children/stimuli_I/1002.png
1002,child,5.0,R,FALSE,ninja(s),house,hands,2.0,3.0,../data/children/stimuli_R/1002.png
1003,child,5.0,G,TRUE,princess,house,flowers,2.0,4,../data/children/stimuli_G/1003.png
1003,child,5.0,I,FALSE,creature/monster,flowers,arc,2.0,3.0,../data/children/stimuli_I/1003.png
1003,child,5.0,R,FALSE,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_R/1003.png
1004,child,4.0,G,TRUE,(smiley) face,,,2.0,1,../data/children/stimuli_G/1004.png
1004,child,4.0,I,FALSE,abstract doodle/hard to interpret,completing,,2.0,0.0,../data/children/stimuli_I/1004.png
1004,child,4.0,R,FALSE,house,door,,2.0,1.0,../data/children/stimuli_R/1004.png
1005,child,4.0,G,TRUE,(smiley) face,,,2.0,1,../data/children/stimuli_G/1005.png
1005,child,4.0,I,FALSE,creature/monster,lines,,2.0,2.0,../data/children/stimuli_I/1005.png
1005,child,4.0,R,FALSE,house,person,smoke,1.0,2.0,../data/children/stimuli_R/1005.png
1006,child,5.0,G,FALSE,abstract doodle/hard to interpret,,,2.0,0,../data/children/stimuli_G/1006.png
1006,child,5.0,I,TRUE,house,door,,2.0,2.0,../data/children/stimuli_I/1006.png
1006,child,5.0,R,FALSE,abstract doodle/hard to interpret,,,1.0,0.0,../data/children/stimuli_R/1006.png
1007,child,5.0,G,TRUE,house,flower,door,1.0,2,../data/children/stimuli_G/1007.png
1007,child,5.0,I,FALSE,door,lines,,1.0,1.0,../data/children/stimuli_I/1007.png
1007,child,5.0,R,TRUE,baby,lines,,1.0,1.0,../data/children/stimuli_R/1007.png
1008,child,7.0,G,TRUE,(smiley) face,ears,hair,2.0,3,../data/children/stimuli_G/1008.png
1008,child,7.0,I,FALSE,abstract doodle/hard to interpret,lines,,1.0,0.0,../data/children/stimuli_I/1008.png
1008,child,7.0,R,FALSE,house,fire,,2.0,2.0,../data/children/stimuli_R/1008.png
1009,child,6.0,G,TRUE,person(s),boat,music,2.0,3,../data/children/stimuli_G/1009.png
1009,child,6.0,I,FALSE,person,house,music,2.0,2.0,../data/children/stimuli_I/1009.png
1009,child,6.0,R,FALSE,abstract doodle/hard to interpret,,,1.0,1.0,../data/children/stimuli_R/1009.png
1010,child,4.0,G,TRUE,person,heart,hair,2.0,3,../data/children/stimuli_G/1010.png
1010,child,4.0,I,TRUE,(smiley) face,crown,hair,2.0,2.0,../data/children/stimuli_I/1010.png
1010,child,4.0,R,FALSE,house,,,2.0,1.0,../data/children/stimuli_R/1010.png
1011,child,5.0,G,TRUE,creature/monster,,,2.0,2,../data/children/stimuli_G/1011.png
1011,child,5.0,I,FALSE,abstract doodle/hard to interpret,,,2.0,0.0,../data/children/stimuli_I/1011.png
1011,child,5.0,R,FALSE,abstract doodle/hard to interpret,lines,,2.0,0.0,../data/children/stimuli_R/1011.png
1012,child,6.0,G,TRUE,person(s),,,1.0,2,../data/children/stimuli_G/1012.png
1012,child,6.0,I,FALSE,completing,,,2.0,0.0,../data/children/stimuli_I/1012.png
